"Story","Title","Result","Date","Stability","Duration (s)"
"Foundation objects","Create delegation","SUCCESS","2022-12-13T12:47:37.9616039+08:00[Asia/Manila]","0.0","932.01"
"Foundation objects","Create country","SUCCESS","2022-12-13T13:12:02.6777518+08:00[Asia/Manila]","0.0","917.37"
"Foundation objects","Create location","SUCCESS","2022-12-13T13:29:12.3741763+08:00[Asia/Manila]","0.0","1117.15"
"Foundation objects","Create job level","SUCCESS","2022-12-13T14:13:15.4694827+08:00[Asia/Manila]","0.0","953.15"
"Foundation objects","Create frequency","SUCCESS","2022-12-13T16:11:20.5725362+08:00[Asia/Manila]","0.0","610.47"
"Foundation objects","Create pay component","SUCCESS","2022-12-13T16:22:33.3948231+08:00[Asia/Manila]","0.0","1214.08"
"Foundation objects","Create legal entity","SUCCESS","2022-12-13T16:47:16.8594948+08:00[Asia/Manila]","0.0","1047.31"
"Foundation objects","Create cost center","SUCCESS","2022-12-13T17:07:02.3686143+08:00[Asia/Manila]","0.0","860.57"
"Foundation objects","Create work unit","SUCCESS","2022-12-13T17:23:52.1646718+08:00[Asia/Manila]","0.0","1140.66"
"Foundation objects","Create job classification","SUCCESS","2022-12-13T20:13:43.8505139+08:00[Asia/Manila]","0.0","1106.72"
"Foundation objects","Create sub family","SUCCESS","2022-12-13T20:36:18.5208674+08:00[Asia/Manila]","0.0","936.04"
"Foundation objects","Create position","SUCCESS","2022-12-14T00:17:09.4364095+08:00[Asia/Manila]","0.0","1220.87"
